|   x    |   y    | zx  | nx  | zy  | ny  |  f  | no  |  out   | zr  | ng  |
|     10 |      5 |  0  |  0  |  1  |  0  |  0  |  0  |      0 |  1  |  0  |
|     10 |      5 |  1  |  0  |  0  |  0  |  0  |  0  |      0 |  1  |  0  |
|     10 |      5 |  0  |  1  |  1  |  0  |  0  |  0  |      0 |  1  |  0  |
|     10 |      5 |  1  |  0  |  0  |  1  |  0  |  0  |      0 |  1  |  0  |
|     10 |      5 |  1  |  1  |  1  |  1  |  1  |  1  |      1 |  0  |  0  |
|     10 |      5 |  1  |  0  |  1  |  0  |  1  |  0  |      0 |  1  |  0  |
|     15 |     10 |  0  |  0  |  0  |  0  |  0  |  0  |     10 |  0  |  0  |
|      5 |      3 |  0  |  0  |  0  |  0  |  1  |  0  |      8 |  0  |  0  |
|      5 |      3 |  0  |  0  |  0  |  0  |  1  |  1  |     -9 |  0  |  1  |
|     15 |      5 |  0  |  0  |  0  |  1  |  0  |  0  |     10 |  0  |  0  |
|      0 |      0 |  0  |  0  |  0  |  0  |  0  |  0  |      0 |  1  |  0  |
|  32767 |      1 |  0  |  0  |  0  |  0  |  0  |  0  |      1 |  0  |  0  |
|      5 |     10 |  0  |  0  |  1  |  1  |  1  |  0  |      4 |  0  |  0  |
|   -256 |      0 |  0  |  0  |  0  |  0  |  0  |  0  |      0 |  1  |  0  |
|    255 |      0 |  0  |  0  |  0  |  0  |  0  |  0  |      0 |  1  |  0  |
|    100 |     50 |  0  |  0  |  1  |  1  |  0  |  0  |    100 |  0  |  0  |
|     20 |     30 |  0  |  0  |  0  |  0  |  1  |  1  |    -51 |  0  |  1  |
|   1000 |      0 |  0  |  0  |  0  |  0  |  0  |  0  |      0 |  1  |  0  |
|  16384 |      0 |  0  |  0  |  1  |  0  |  0  |  0  |      0 |  1  |  0  |
|   7777 |   3333 |  0  |  0  |  0  |  0  |  0  |  1  |  -3074 |  0  |  1  |
